player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal
1925797,Viola Scotto,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 100m Butterfly,No medal
1925797,Viola Scotto,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 4 x 100m Medley Relay,No medal
1925798,Chiara Tarantino,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 4 x 100m Freestyle Relay,No medal
1925798,Chiara Tarantino,F,Italy,ITA,2024,Summer,Paris,Swimming,Relay Only Athlete,No medal
1925803,Matilde Biagiotti,F,Italy,ITA,2024,Summer,Paris,Swimming,Women's 4 x 200m Freestyle Relay,No medal
1925803,Matilde Biagiotti,F,Italy,ITA,2024,Summer,Paris,Swimming,Relay Only Athlete,No medal
1925804,Ginevra Taddeucci,F,Italy,ITA,2024,Summer,Paris,"Marathon Swimming, Swimming",Women's 10km,No medal
1925804,Ginevra Taddeucci,F,Italy,ITA,2024,Summer,Paris,"Marathon Swimming, Swimming",Women's 1500m Freestyle,No medal
1925805,Silvia Avegno,F,Italy,ITA,2024,Summer,Paris,Water Polo,Women,No medal
1925806,Caterina Banchelli,F,Italy,ITA,2024,Summer,Paris,Water Polo,Women,No medal
1925807,Roberta Bianconi,F,Italy,ITA,2024,Summer,Paris,Water Polo,Women,No medal
1925808,Agnese Cocchiere,F,Italy,ITA,2024,Summer,Paris,Water Polo,Women,No medal
1925809,Aurora Condorelli,F,Italy,ITA,2024,Summer,Paris,Water Polo,Women,No medal
1925811,Giuditta Galardi,F,Italy,ITA,2024,Summer,Paris,Water Polo,Women,No medal
1925813,Sofia Giustini,F,Italy,ITA,2024,Summer,Paris,Water Polo,Women,No medal
1925814,Roberta Marletta,F,Italy,ITA,2024,Summer,Paris,Water Polo,Women,No medal
1925815,Valeria Palmieri,F,Italy,ITA,2024,Summer,Paris,Water Polo,Women,No medal
1925816,Domitilla Picozzi,F,Italy,ITA,2024,Summer,Paris,Water Polo,Women,No medal
1925820,Chiara Tabani,F,Italy,ITA,2024,Summer,Paris,Water Polo,Women,No medal
1925821,Giulia Viacava,F,Italy,ITA,2024,Summer,Paris,Water Polo,Women,No medal
1925822,Dafne Bettini,F,Italy,ITA,2024,Summer,Paris,Water Polo,Women,No medal
1925835,Adebola Adeyeye,F,Nigeria,NGR,2024,Summer,Paris,Basketball,Women,No medal
1925840,Lauren Ebo,F,Nigeria,NGR,2024,Summer,Paris,Basketball,Women,No medal
1925856,Pallas Kunaiyi-akpanah,F,Nigeria,NGR,2024,Summer,Paris,Basketball,Women,No medal
1925859,Kevin Mejia,M,Honduras,HON,2024,Summer,Paris,Wrestling,Men's Greco-Roman 97kg,No medal
1925869,Murjanatu Musa,F,Nigeria,NGR,2024,Summer,Paris,Basketball,Women,No medal
