team,country,total_medals
"RAMATULLA Bekarys / TOKARNYTSKYI Sergii",Kazakhstan,0
"BROVKOVA Mariya / ISKAKOVA Rufina",Kazakhstan,0
Cherif/Ahmed,Qatar,0
"CINAR Deniz / NALBANTOGLU Lara",Türkiye,0
"KAYNAR Alican / KAYNAKCI Beste",Türkiye,0
USSR,USSR,0
"STEPUN Jakub / KORSAK Przemyslaw",Poland,0
"SZCZERBINSKA Sylwia / BOROWSKA Dorota",Poland,0
"KLATT Martyna / WISNIEWSKA Helena",Poland,0
"NAJA Karolina / PULAWSKA Anna",Poland,0
Singapore,Singapore,0
"CERNY D / BURZALOVA H",Slovakia,0
"MAMMERI Koceila / MAMMERI Tanina Violette",Algeria,0
"DEMIR M / TEKDAL A",Türkiye,0
"WONG Chun Ting / DOO Hoi Kem","Hong Kong, China",0
"KRAL Ondrej / MENDREK Adam",Czechia,0
Diaz/Alayo,Cuba,0
Bahamas,Bahamas,0
"LEONARD Loic / BART Adrien",France,0
"RENARD Axelle / DORANGE Eugenie",France,0
"HOSTENS Manon / PAOLETTI Vanina",France,0
Guinea,Guinea,0
"RODRIGUEZ/GARCIA LEON",Peru,0
"SCHNEITER Sébastien / de PLANTA Arno",Switzerland,0
"MERMOD Yves / SIEGENTHALER Maja",Switzerland,0
"Wozniacki / Rune",Denmark,0
"JONES William / BARNES Justin",Canada,0
"LEWIN-LAFRANCE Georgia / LEWIN-LAFRANCE Antonia",Canada,0
"IONESCU Ovidiu / SZOCS Bernadette",Romania,0
"DONG Adam / YAKURA Nyl",Canada,0
"Griekspoor / Koolhof",Netherlands,0
"Haase / Rojer",Netherlands,0
"Rus / Schuurs",Netherlands,0
"Schuurs / Koolhof",Netherlands,0
"POPOV Christo / POPOV Toma Junior",France,0
"CORVEE Lucas / LABAR Ronan",France,0
"LAMBERT Margot / TRAN Anne",France,0
"GICQUEL Thom / DELRUE Delphine",France,0
Pakistan,Pakistan,0
"Krawietz / Puetz",Germany,0
"Koepfer / Struff",Germany,0
"Kerber / Siegemund",Germany,0
"Korpatsch / Maria",Germany,0
"Siegemund / Zverev",Germany,0
"LUM Nicholas / JEE Minhyung",Australia,0
"ASSAR Omar / MESHREF Dina",Egypt,0
